date,title,stars,review,no_scent,noscent_counter
2021-02-28,Do Not Buy,1.0 out of 5 stars,This product is not a real Yankee candle I looked up the bar code because packaging looked off and sure enough it is fake. 😒,False,0
2021-02-28,Smells fabulous,5.0 out of 5 stars,My whole family loves the scent of this beautiful candle. Thank you so very much.,False,0
2021-02-26,Will be ordering again!,5.0 out of 5 stars,We enjoyed the scent,False,0
2021-02-24,Authentic Lilac aroma,5.0 out of 5 stars,"Love the scent, very relaxing 😌",False,0
2021-02-21,Sens pas grand chose,3.0 out of 5 stars,Tres beau mais le parfum est faible,True,1
2021-02-05,Best scent ever!,5.0 out of 5 stars,By far the most fragrant candle I’ve had. Get tons of compliments on the scent. Long lasting..love it,False,0
2021-02-01,Prefer it to the smell of lavendar.,5.0 out of 5 stars,Truly smells like a lilac bush. Always loved the smell of lilacs.,False,0
2021-01-30,damaged packaging and damaged glass jar,1.0 out of 5 stars,"When I received my yankee candle, lavender vanilla, the top of the glass was broken and jagged. I cut my finger on it getting it out of the packaging. The packaging (cardboard) was also damaged. I would like another candle free of charge to replace this damaged one please.",False,0
2021-01-30,Well packed smells great!,5.0 out of 5 stars,"Came well packed no issues , it smells beautiful very soft pleasant scent.",False,0
2021-01-30,Ok,5.0 out of 5 stars,Très beau à offrir en cadeau,False,0
2021-01-18,Disappointed,1.0 out of 5 stars,"I miss my Grandma. Her favourite flower was lilac. I ordered this candle on her birthday. Unfortunately, when I received it, the Yankee Candle packaging did say lilac but when I opened it, it was an overpowering black candle... I think Mid Summer Night. I have wondered what that one smelled like but turns out I hate it. Had to return. Will try again next birthday, I guess.",False,0
2021-01-14,Smells SOOOO good,5.0 out of 5 stars,"Bought this as a Christmas gift for my sister and she loved it. If you love lavender and vanilla, you can't go wrong! The last time I bought one of these candles, it lasted me 3 months!",False,0
2021-01-14,The Best Yankee Candle Ever. Smells like Heaven and burns for a long time,5.0 out of 5 stars,Best Smelling Yankee Candle Hands Down,False,0
2021-01-10,Lilac Candle,5.0 out of 5 stars,"My girlfriend loooooves lilac candles. So I buy them frequently. The price does seem excessive for a scented lantern, but the smell is good and it lasts quite a long time.",False,0
2021-01-10,U Can do Better,1.0 out of 5 stars,"No discernable scent.
Packaging eh
Glass very heavy to lift up or mail
Not impressed quite expensive considering the price",True,1
2021-01-03,"Great candle, shoutout to Masego",5.0 out of 5 stars,Heard about this candle from a Masego interview and my partner bought this for me as a gift. I have been destroying this candle and must ration it more. Scents are personalized of course but for me this scent absolutely SLAPS. It has a sweet fruitiness with a tiny bit of floral scent that does not smell like an old person's bathroom.,False,0
2020-12-24,Yankee Candle Lilac Blossoms Large Jar 22 oz Candle,5.0 out of 5 stars,"Love Yankee Candles. They have a great scent that can fill large rooms, while still being subtle and fragrant. Burns very evenly. This is a great scent to boost relaxation and calmness.",False,0
2020-12-09,Great scent,5.0 out of 5 stars,Loved it. First one gone now. Need more,False,0
2020-11-22,Small throw,3.0 out of 5 stars,Beautiful scent but doesn't have much throw. Also the wick is messed up and it is not burning evenly,True,1
2020-10-17,No scent when lit?,1.0 out of 5 stars,"Disappointed. I’ve wanted to try this candle for years, and I was so excited to come home and light this, but after 4 hours, there was barely any scent. Like I had to sniff for it, but it wasn’t there. I agree with the comment saying you can smell it more when it’s not lit.
Sad that I threw out the box, but if I find another box for it to fit in, then I will return it. Maaaybe I’ll give a different yankee candle a go, but this first yankee purchase was a big disappointment.

I read through the comments and there were enough people saying it smelled wonderful. Did I get a bad batch or something? I should have gone for the salted caramel instead",True,1
2020-10-13,Burns very well,5.0 out of 5 stars,If you like the smell of lilac you'll love this candle.,False,0
2020-09-26,overrated,3.0 out of 5 stars,You are definitely paying for the name. The scent is underwhelming. I want a candle that fills the room wth a pretty aroma. It barely has a scent.,True,1
2020-08-31,Always good quality,5.0 out of 5 stars,Best candle ever,False,0
2020-08-09,Smells awesome,5.0 out of 5 stars,Was well packaged and arrive in perfect shape. The candle itself smells amazing and burns evenly. Definitely worth the money.,False,0
2020-08-05,Packaged well,4.0 out of 5 stars,Didn’t smell bad but isn’t the greatest scent either.,False,0
2020-07-29,Nice Candle,1.0 out of 5 stars,Too bad that it arrived broken.,False,0
2020-07-20,Smells just like summer,5.0 out of 5 stars,"Love the smell of lilacs and this candle smells exactly like that (to me at least).
The candle came very well packed in a Yankee Candle cardboard box with cardboard inserts. Happy with purchase.",False,0
2020-06-15,Love it,5.0 out of 5 stars,Love the scent,False,0
2020-06-04,Hardly any scent - waste of money,2.0 out of 5 stars,"Can barely smell it, zero throw. From what I could smell it was a light tropical floral scent. It was about as good as the glade one you can get on the add on item deal. You may as well buy that one. Would not buy Yankee again",True,1
2020-06-04,"Nice, accurate scented candle",4.0 out of 5 stars,"Really nice burning candle, well scented but overpriced when you can get them retail for alot less. Just the convenience during Covid made it easier and safer to buy online.",False,0
2020-06-02,LOVE this candle,5.0 out of 5 stars,This scent is my absolute favourite. Burn length is great and never loses its scent.,False,0
2020-05-31,The best,5.0 out of 5 stars,Smells like heaven! I can’t explain the scent other than amazing!,False,0
2020-02-20,Great but.,5.0 out of 5 stars,"It came early, and this is my favourite scent. It makes me think of spring.",False,0
2020-02-06,What's not to love?,5.0 out of 5 stars,"What can I say ... candles are great. Yankee Candles are great. The lilac aroma is great. All in a contained glass jar. No mess, nice smell, pretty candle - what's not too love?
1 recommendation - if you buy a lot of these types of candles, invest in a wick trimmer (amazon has a bunch) ... keeping the wick nice a trimmed will prevent soot getting on the side of the jar as it burns down.
Will buy again.",False,0
2020-01-13,No smell ???,1.0 out of 5 stars,No small I'm very upset because I've been a Yankee candles customer for many years.,True,1
2020-01-01,"Love, love, love.",5.0 out of 5 stars,Love that Yankee Candle's Lilac Blossoms has stayed the same over the years.,False,0
2019-11-17,It came broken,1.0 out of 5 stars,It came broken because it was packaged in a flimsy egg carton. This was for my mom's birthday.,False,0
2019-06-22,Love it,5.0 out of 5 stars,Smells great,False,0
2019-05-10,Lovely smell,5.0 out of 5 stars,Long lasting great smell,False,0
2021-12-18,Smell very good.,5.0 out of 5 stars,The aroma of this candle is very sweet. It last a lot. I'll buy it again.,False,0
2021-12-16,Presque pas parfumée,3.0 out of 5 stars,Je souhaitais avoir une bougie qui parfume toute la maison et ce n’est pas le cas,True,1
2021-12-10,Yankee this!,3.0 out of 5 stars,Some candles are better than others. This particular one is little too strong smelling but tolerable for hour at a time. Pricing freshness.,False,0
2021-12-01,Smells good!,5.0 out of 5 stars,"I will buy more in the future and these make the perfect gifts!
The Midsummer's Night scent is perfect for men!",False,0
2021-11-20,Ugh terrible scent,1.0 out of 5 stars,"Have no idea what the scent is supposed to be but it’s very subtle and even then it’s not a nice scent.
Don’t waste your money.",True,1
2021-11-17,j'adore l'odeur,5.0 out of 5 stars,"Que dire de cette odeur , plutôt masculine , ce que j'adore , un fond de musk comme je les aimes ..",False,0
2021-11-16,Best scented candle,5.0 out of 5 stars,Best yankee scent in my opinion. Good value,False,0
2021-11-12,Price,5.0 out of 5 stars,too expensive,False,0
2021-10-23,Long lasting candle,5.0 out of 5 stars,Wonderful scent!,False,0
2021-10-02,Came with wax licking all over the lid,1.0 out of 5 stars,I would't purchase - when i received this there was wax all over the lid and it was pretty messy to clean.,False,0
2021-09-26,Gorgeous aroma,5.0 out of 5 stars,I adore the aroma of baby powder. Relaxes you . Like smelling a newborn baby.,False,0
2021-09-11,Both Chocolate Layer Cake AND Pumpkin Apple Parfait smell wonderful,5.0 out of 5 stars,"I've had Chocolate Layer Cake before years ago and it was a favourite then. I hadn't had any in years, since Yankee stopped shipping to Canada.

But when I saw it on Amazon, I ordered one. It smells, as I said in the title, very much just as good as I remember it. Just delicious chocolate cake. You can smell both the cake and the rich icing And it just smells chocolatey and wonderful.

It's burning well too.

I found that these desserty candles almost just as good as eating actual cake. I actually use them as a diet aid. I light one up each day, take a few deep breaths, mediate, read and relax for a few hours. It leads to less actual cravings for desserts as I feel like I'm already having the experience of it each day.

Chocolate just makes me happy. And this is a really nice chocolate

As for the Pumpkin Apple Parfait, I just tried it for the first time and loveit too.

It has a beautiful apple scent. I then do smell a vanilla/caramelly scent. And then there is some pumpkin in there too. Although the cent of this one faded quite a bit afew days in But overall, I'm happy with this one too. Both smell delicious",False,0
2021-08-21,Very disappointed,1.0 out of 5 stars,"I was looking forward to this candle for 6 months ,got amazon card for my birthday and ordered it ..Yankee Candles were my favorite ,The smell of the chocolate cake was not the smell of chocolate cake ..I burned it for a while and still not smelling like chocolate cake ..I was thinking maybe sat on shelf for years ..Don't know .But will not be ordering any again.",True,1
2021-08-19,Yankee never disappoints,5.0 out of 5 stars,This candle arrived very securely packaged all intact. As usual Yankee Candles never disappoint me. Descent appears to be absolutely awesome. Looking forward to burning it at Christmas time. The fragrance seems spot on for mistletoe. You could never go wrong with a Yankee candle. Highly recommended.,False,0
2021-08-10,Scent is incredibly weak.,1.0 out of 5 stars,"candle for 3 hours and didn’t smell anything from a distance of 3 ft in a closed space. Glass is also very fragile, broke the tip of the jar easily but it’s still holding the candle inside",True,1
2021-08-06,Not impressed,2.0 out of 5 stars,Candle smelled nice but it burned awkwardly did not burn for the hours it said it would most of the candle wax was surrounding the jar when the wick was at the end not happy,False,0
2021-08-03,The wrong scent was delivered and it even broke.,1.0 out of 5 stars,The wrong scent was delivered and it even broke. :(,False,0
2021-08-03,Love the smell,5.0 out of 5 stars,Smells soooo good,False,0
2021-08-02,No Scent,1.0 out of 5 stars,Have had in car for over a week and still no scent,True,1
2021-07-01,Nice,5.0 out of 5 stars,Love the scent and great for gift,False,0
2021-05-19,One of my favourite scents....,3.0 out of 5 stars,But too much black smoke if the wick get a little long. You need to cut wick regularly which gets a little difficult.,False,0
2021-05-18,Best ever bought,5.0 out of 5 stars,All good,False,0
2021-05-15,"Good scent, way over priced.",2.0 out of 5 stars,The scent is nice but the item is way over priced.,False,0
2021-04-13,DISAPPOINTING,1.0 out of 5 stars,"I really love the smell of this candle but I never got the chance to enjoy it. I ordered it once and it shows up broken. i get a replacement and it shows up even more broken than the last time.

I'm annoyed and frustrated. I've bought other candles from this company and they are amazing. it's just disappointing that for whatever reason I never got the chance to try this one.

smells good before burning at least.",False,0
2021-04-11,Great product,5.0 out of 5 stars,My mother loves it!!!!,False,0
2021-03-30,Smell very good,5.0 out of 5 stars,Smell very good,False,0
2021-03-06,another fine candle.,5.0 out of 5 stars,"as advertised, smells as it should. excellent packaging, great delivery service. light the candle for at least 4 hrs.' at a time. it keeps the 'puddle' even.",False,0
2021-02-26,broken glass,1.0 out of 5 stars,"arrived broken. it was wrapped in bubble wrap, not a cardboard brace like other candles are, and the lid area was shattered. The small box with the candle was inside a larger box, even though it didn't come with any other products, so it probably moved around a lot.",False,0
2021-02-22,A FANTASTIC Experience!!!,5.0 out of 5 stars,Interacting with UrbanInspirations was a true pleasure! I will definitely look to order from them again in the future!!!,False,0
2021-02-13,The size was good and smell is nice,5.0 out of 5 stars,Glad candle was for me and not a gift as it came looking like it has already melted the lid was a mess,False,0
2021-02-08,"Authentic, Lovely, Cozy.",5.0 out of 5 stars,"Lovely. I’ve ordered Yankee candles straight from their website before and have found that certain scents are not as “strong” as others. Does not mean they are not authentic, it depends on the candle you purchase. This candle is a potent, lovely scent that fills the room, but not too strong as I find BBW candles. It came in original Yankee Candle packaging as well, so no need to worry about the authenticity, it is the real deal. I love the fresh clean scent of this candle, perfect for gifting or keeping for yourself. Will be ordering more :)",False,0
2021-02-07,Good product.,5.0 out of 5 stars,Smell good.,False,0
2021-02-06,Very nice scent,5.0 out of 5 stars,These smell wonderful. Packaged well.,False,0
2021-02-04,Livraison un peu tard,5.0 out of 5 stars,Bonne odeur,False,0
2021-01-27,Good quality candles,5.0 out of 5 stars,"One of my favourite scents smells like clean clothes, and the scent payoff is great! These Yankee jars also take a very long time to burn out completely, worth the price if you’re looking for a quality candle.",False,0
2021-01-23,5 Stars if you like men's cologne,5.0 out of 5 stars,"I gave it 5 Stars because the scent is clean and really fills the room. I picked it based on the name and my love of the moon, but I forgot to read about the smell and I hate it, but that's my fault. It's like men's cologne. If that's what you're looking for, it's a great candle.",False,0
2021-01-21,Used to hate it - Now I love it,5.0 out of 5 stars,"I know people say that this smells like men's Axe, but it actually has a clean linen smell thats musky and masculine. It smells so SEXY. Smelling this, makes me feel like I am in a fresh clean bed always!",False,0
2021-01-21,Yankee Candle Company Clean Cotton Large Jar Candle,5.0 out of 5 stars,"Great candle, great scent and fragrance, and long lasting, and even burning. Love Yankee Candles for the quality. I have tried many other candles, and none can hold a flame to the Yankee Candle.... (pun intended).",False,0
2021-01-20,Super chocolatey,5.0 out of 5 stars,Love it but can only burn for short time as it is very strong but that is better than not enough,False,0
2020-12-27,Love the scent,5.0 out of 5 stars,Gift,False,0
2020-12-22,"Yankee Candle Large 2-Wick Tumbler Candle, Mediterranean Breeze",5.0 out of 5 stars,"Love Yankee Candles. They have a great scent that can fill large rooms, while still being subtle and fragrant. Burns very evenly.",False,0
2020-12-22,Highly recommend,5.0 out of 5 stars,Fresh & clean scent. Long lasting. Smells like fresh laundry.,False,0
2020-12-18,Great smell,5.0 out of 5 stars,"The box is just plain cardboard and says yankee candle on it, not pretty at all. The candle is big and it smells amazing, I got the Christmas Eve candle",False,0
2020-12-11,Defective,1.0 out of 5 stars,"Candle arrived with all of the wax tilted to one side, completely covering the wick. Entirely unusable.",False,0
2020-12-05,Smell good,5.0 out of 5 stars,"It smells really good, it reminds me of someone from my past and I like it, come in a great padded package. i recommend it",False,0
2020-11-26,Beautiful candle,5.0 out of 5 stars,Smells awesome,False,0
2020-11-24,Nice candle,5.0 out of 5 stars,My one and only favorite!,False,0
2020-11-19,Fragrance Inaccurate,2.0 out of 5 stars,Does not smell like cinnamon at all.,False,0
2020-11-18,Great Scents,5.0 out of 5 stars,"As Described. Great product.
Can't find these in NS, Canada and with Borders closed online is my only option.
Thanks!",False,0
2020-11-14,Awesome smells great,4.0 out of 5 stars,"Smells great, lasts a long time.....",False,0
2020-11-09,Bad quality of scent,1.0 out of 5 stars,Not recommended,True,1
2020-11-08,smells like nothing dont waste your money,1.0 out of 5 stars,smells like nothing,True,1
2020-11-06,Long lifetime,5.0 out of 5 stars,"Long lifetime, smelling wonderful!",False,0
2020-11-05,Very satisfied & smells incredible!!,5.0 out of 5 stars,"I've been wanting a Yankee Candle for a long time and when I found it on Amazon I was so happy! The candle was delivered the next day, perfect packaging, and it smells so so good! I love the smell of fresh laundry/ clean cotton so this one was an easy choice! This candle is also great as a gift or a decor piece and im going to rider more scents for Christmas gifts!",False,0
2020-11-03,"No, I won't be buy again",1.0 out of 5 stars,It's so weird.. It does not smell as strong as the one I bought from Winners.. Looks like the fake version of Yankees Candles.. I don't recommend it,True,1
2020-10-25,PASS :(,1.0 out of 5 stars,"The Clean Cotton scent is very fresh as burns beautifully, but the spice Pumpkin was awful. Meh scent and the wick burned horrible.

These candles are way too expensive to play the hit or miss game. Would not recommend.",True,1
2020-10-19,Counterfeit or 5-10 years old,1.0 out of 5 stars,I think these are either 5-10 years old or counterfeit. They are not traditional yankee candle quality and have a fraction of the scent as the authentic ones do. Do not order,True,1
2020-10-15,Never leave a candle burning.,5.0 out of 5 stars,Canadian Thanksgiving!,False,0
2020-09-16,Softly cocoa,5.0 out of 5 stars,"It was excellent choice. Not too much strong, but it is softly warmer. If you like the cocoa smell, I recommend you. Good delivery",False,0
2020-09-15,My favorite scented candle,5.0 out of 5 stars,"Amazing candle, one of my favorites. Clean cozy scent everyone loves",False,0
2020-09-09,broken item on delivery,1.0 out of 5 stars,"looking for replacement or money back

Thanks Jeff",False,0
2020-08-30,Lacking scent?,4.0 out of 5 stars,"I usually love this scent of yankee candle, but this one hardly contains any smell! I’m pretty disappointed because I paid quite a bit more than I would in store, for the convenience of shopping online, only to get one that hardly smells. I’m not sure if the candle was old, mismanaged during shipping or storage, or if it’s defective but they generally smell strongly of a real cinnamon stick. These candles are wonderful if you get one that has enough scent to it.",True,1
2020-08-20,👌,5.0 out of 5 stars,as described,False,0
2020-08-06,Usual fragrance but not as strong as I remember.,5.0 out of 5 stars,Beware the packaging. First order came with the glass upper rim broken. Very quick return and replacement in 2 days. Great candle and I have bought several times but the fragrance is not as strong as I remember this time.,True,1
2020-08-04,Smell nice,5.0 out of 5 stars,It smells nice and looks the same as the description.,False,0
2020-07-23,Perfect candle,5.0 out of 5 stars,"The scent of this Clean Cotton candle is amazing!! I was worried about the shipment for this, but it came in a protective cardboard packaging in a box. No shatter and fast shipment. It was my first time purchasing a Yankee Candle and yes, it was a perfect purchase.",False,0
2020-07-12,Odeur,2.0 out of 5 stars,"Bonjour,
Dégage peu d'odeur parfumé",True,1
2020-07-04,Love it,5.0 out of 5 stars,Love this candle,False,0
2020-06-30,Wonderful smell,5.0 out of 5 stars,Smells very nice!!! Wonderful. Will order again!!,False,0
2020-06-07,Exactly as expected from Yankee. Great products.,5.0 out of 5 stars,Shipping time was more than expected but understandable during these times.,False,0
2020-06-02,Smells like a men’s cologne.,1.0 out of 5 stars,I do not like the smell of this candle. It’s awful. I’m more of an earthy candle buyer. This is not my thing. If u like the smell of a man in your house...guess this one is for you.,True,1
2020-05-24,Coconut Vanilla,1.0 out of 5 stars,"Gross smell. Cannot smell coconut or vanilla . It’s also not black, at first it glowed rusty brown , now it’s a berry red.
Not sure how to describe this scent- rotten potatoes?",True,1
2020-05-24,Subtle and Nice,5.0 out of 5 stars,"Really nice and simple smelling candle. I was worried it would be overpowering or “fake” smelling like a lot of scented candles are, but the clean cotton is perfect.

The smell is quite subtle, I think I would recommend getting a 3 wick candle if you want a stronger scent.",True,1
2020-05-20,Chocolate layer cake candle,5.0 out of 5 stars,"Smells absolutely delicious, by far one of the best candles I’ve ever had!!❤️",False,0
2020-05-15,Exactly as described,5.0 out of 5 stars,Smells like chocolate cake.,False,0
2020-05-14,Great smell. Sage and citrus is wonderful.,4.0 out of 5 stars,Smells great! Burns great.. But the wax seems to be separated in places.. Overall good candle.,False,0
2020-05-13,Yummy,5.0 out of 5 stars,Boyfriend things it smells funny but I love it. Haven’t lit it in a while but can still smell it. Little pricey in my opinion but I haven’t had it that long so we’ll see how long it lasts to make up for the price,False,0
2020-05-11,happy with purchase 🙂,5.0 out of 5 stars,Fast delivery...not damaged...SMELLS FANTASTIC!!!!!!,False,0
2020-05-07,It arrived broken!,1.0 out of 5 stars,"The top part of the glass holder of the candle was shattered.
The package was full of broken glasses.
I cannot find a way on Amazon website to report this.
I am pretty disappointed!",False,0
2020-05-07,Broken on delivery,1.0 out of 5 stars,Candle was delivered smashed,False,0
2020-05-04,Cam broken.,1.0 out of 5 stars,Came broken like the pictures.,False,0
2020-04-14,"Just okay, I guess..",2.0 out of 5 stars,"Kinda cute, smells good when I smush it in my face, but otherwise does not impact the overall smell of the car.. plus, the recommended change period written on the packaging is useless, since I could hang a new one once a week and still not smell a thing.. I am a BIG Yankee candle fan, but this product just doesn’t livr up to their usual standards.",True,1
2020-03-12,It took a long time to arrive & box was damaged so candles all fell out,3.0 out of 5 stars,I didn't think the smell would be so sweet...could've been my misinterpretation as I prefer a more spicy type smell.,False,0
2020-01-30,Burns even,5.0 out of 5 stars,Yankee candles are the best,False,0
2019-12-19,Cassé,2.0 out of 5 stars,Elle était cassé,False,0
2019-12-16,THE SMELL OF A SNACKK,5.0 out of 5 stars,Smells great and the bar is nice. Only thing I didnt like is the packaging but that's not why you buy a candle,False,0
2019-12-13,Great !,5.0 out of 5 stars,Exactly as expected,False,0
2019-12-09,The best scent yet!,5.0 out of 5 stars,"The scent of Fresh Cut Roses is far superior to any other of the scents available. I had gone to a Yankee Candle store in St. Catharines, Ontario and they told me this was only a Summer Item and only available on line (if I was lucky). I loved this so much that my last order was a Christmas present for some of my friends and family. Please keep this scent available.....it's a keeper!",False,0
2019-11-20,good,4.0 out of 5 stars,good,False,0
2019-11-07,Doesn't smell like lavender.,4.0 out of 5 stars,"Doesn't smell like lavender, but smells good enough for what it is. It is super strong, so make sure it's not on a vent that is on all the time, and it will last at least a few months (mine is on month three).",False,0
